Date,Close,High,Low,Open,Volume,Return,MA10,MA50,EMA20,Volatility,RSI,Target
2015-03-16,27.809694290161133,27.809694290161133,27.34675708098747,27.57154811064619,143497200.0,0.011003984719025972,27.99420509338379,26.586998291015625,27.905682949419052,0.012886234238189893,32.71066740708537,1
2015-03-17,28.27486038208008,28.33717875688107,27.96549295142633,28.021134600076984,204092400.0,0.016726760354338843,27.942569732666016,26.667744522094726,27.94084270491058,0.014304428835009493,45.5333992728571,1
2015-03-18,28.593130111694336,28.746701602291758,28.125740611932837,28.265956952446786,261083600.0,0.011256279440939876,27.941011810302733,26.768512268066406,28.002965315080463,0.014747865940753085,44.97156803209058,0
2015-03-19,28.37724494934082,28.76673654668471,28.354988626245177,28.65545323315789,183238000.0,-0.0075502458636111935,27.96527156829834,26.864918022155763,28.03861099453383,0.013868410974570417,47.39130414532554,0
2015-03-20,28.02113914489746,28.57755402360196,27.856440313632152,28.54417038743568,274780400.0,-0.012548991457031144,27.94969253540039,26.947595138549804,28.036947008854174,0.014503046394718104,41.76560453081216,1
2015-03-23,28.31270217895508,28.45514469325615,28.159130653391948,28.292671996341824,150838800.0,0.010405109961802328,27.95125102996826,27.017747688293458,28.063209406006642,0.014851076962216766,44.733030009875705,0
2015-03-24,28.19696044921875,28.497423293342283,28.168025707185222,28.31714660569711,131369200.0,-0.004087978922137747,27.999769973754884,27.085053329467772,28.075947600598273,0.013085733112163619,45.400285432664006,0
2015-03-25,27.460262298583984,28.225891828910207,27.460262298583984,28.163573462125168,206620800.0,-0.026126863991653315,28.02514190673828,27.14986240386963,28.017310905168344,0.014582203796183118,42.88389935233522,1
2015-03-26,27.65167808532715,27.794120594999196,27.28666894203646,27.3222804184788,190291600.0,0.006970646698922334,28.020467948913574,27.2141987991333,27.982488731850133,0.013523317534447325,44.62667107382282,0
2015-03-27,27.43132972717285,27.754050574155617,27.35565790850584,27.725117531379677,158184800.0,-0.007968715586603836,28.012900161743165,27.27599048614502,27.929997398071343,0.013586643860754755,41.32084288714545,1
2015-03-30,28.12574577331543,28.132422500558253,27.59826224650013,27.6093912572706,188398800.0,0.025314705960269412,28.044505310058593,27.364883308410644,27.948640100475544,0.015513916209435154,54.061116774368344,0
2015-03-31,27.693965911865234,28.15245262749894,27.678386315646087,28.063425635654404,168362400.0,-0.015351765778237603,27.98641586303711,27.448820762634277,27.92438541584599,0.01527022703432398,54.85156176433959,0
2015-04-01,27.653898239135746,27.847531779753435,27.3979463262866,27.780761124906427,162485600.0,-0.0014468015472035578,27.89249267578125,27.519852447509766,27.898624732349777,0.014559654647579169,49.51308217460621,1
