Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.237548828125,24.705318351259162,23.798598610986176,24.694233092060063,212818400
2015-01-05,23.55474281311035,24.08680322434,23.368522599435355,24.00699407808688,257142000
2015-01-06,23.556957244873047,23.81633609193056,23.19559874156603,23.619030641634858,263188400
2015-01-07,23.887283325195312,23.98704392471396,23.65450633782029,23.76535220011818,160423600
2015-01-08,24.80507469177246,24.862714985314312,24.097877897978044,24.215375874798344,237458000
2015-01-09,24.83167839050293,25.106575520855507,24.43263280501306,24.977993977600683,214798000
2015-01-12,24.21980857849121,24.96912561715125,24.12004802977422,24.96247513941982,198603200
2015-01-13,24.434858322143555,25.006823287798543,24.14444274972402,24.70310506385616,268367600
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400
2015-01-15,23.68110466003418,24.39938521357673,23.645634871541997,24.38608425431382,240056000
2015-01-16,23.497093200683594,23.849583739052846,23.32195662633787,23.72765267736508,314053200
2015-01-20,24.102313995361328,24.1577369021971,23.610158312039985,23.907224280820753,199599600
2015-01-21,24.28632164001465,24.621074823456794,24.00255489901262,24.15330529304962,194303600
2015-01-22,24.91815185546875,24.933670209577176,24.324017926015934,24.443731668298266,215185600
2015-01-23,25.046722412109375,25.21742423193683,24.725268516966384,24.895972028166835,185859200
2015-01-26,25.073335647583008,25.352667715705067,25.006829139898358,25.215218226958775,222460000
2015-01-27,24.195425033569336,24.935875977807996,24.171038818283535,24.922573329505678,382274800
2015-01-28,25.563268661499023,26.18622347098334,25.563268661499023,26.07759332327218,585908400
2015-01-29,26.359140396118164,26.423431184589887,25.61868932490351,25.78717547085102,337745600
2015-01-30,25.97340202331543,26.603005679197125,25.90467644184349,26.248299275082537,334982000
2015-02-02,26.29927635192871,26.418990030058623,25.733963734027988,26.170696497379847,250956400
2015-02-03,26.303720474243164,26.401263671853233,26.073160903883434,26.270466381055748,207662800
2015-02-04,26.50545883178711,26.7160669593945,26.228344209703778,26.27046617349994,280598800
2015-02-05,26.69463539123535,26.75917990136998,26.54106391201681,26.712439426613575,168984800
2015-02-06,26.469850540161133,26.763638436784344,26.363017805912374,26.712447362487318,174826400
2015-02-09,26.645671844482422,26.67237874794815,26.358560745887814,26.385269347401834,155559200
2015-02-10,27.157577514648438,27.1865122612424,26.743605174485186,26.74582961803202,248034000
2015-02-11,27.79412269592285,27.803025565706395,27.26441467916801,27.32450692764593,294247200
2015-02-12,28.145761489868164,28.372780287742383,27.947677425907035,28.0567345436047,297898000
2015-02-13,28.283763885498047,28.328276526199947,27.96549358013913,28.328276526199947,217088800
2015-02-17,28.4506893157959,28.684384928549473,28.248152891669676,28.375015787666307,252609600
2015-02-18,28.648778915405273,28.662132370775968,28.36611832436807,28.406180388528906,179566800
2015-02-19,28.588682174682617,28.717771224139252,28.56197526655268,28.595358901715098,149449600
2015-02-20,28.822376251220703,28.822376251220703,28.49965534307122,28.626516545928553,195793600
2015-02-23,29.601367950439453,29.601367950439453,28.85799606659719,28.938120205915986,283896400
2015-02-24,29.4166259765625,29.73489796822131,29.19405938517191,29.588003202840323,276912400
2015-02-25,28.66435432434082,29.28976939734613,28.52191181926601,29.280864830474275,298846800
2015-02-26,29.02713966369629,29.12729396862077,28.179161341319833,28.664354967712665,365150000
2015-02-27,28.59090805053711,29.060523730781554,28.54194312493081,28.933659133684255,248059200
2015-03-02,28.731124877929688,28.995979705716593,28.555298738023403,28.766736353081935,192386800
2015-03-03,28.791213989257812,28.826825458437778,28.508553471298843,28.702188712404517,151265200
2015-03-04,28.60870933532715,28.835728218754888,28.55974780762392,28.733349484334305,126665200
2015-03-05,28.134647369384766,28.65545244734505,27.98997872615739,28.61761652931516,226068400
2015-03-06,28.176929473876953,28.7934381705221,28.101257649630615,28.57754831021603,291368400
2015-03-09,28.297117233276367,28.83795583428651,27.834178300278573,28.479621776355522,354114000
2015-03-10,27.71177101135254,28.31492636258057,27.553748911042486,28.13464793933434,275426400
2015-03-11,27.20654296875,27.769636241841642,27.17760991964379,27.765185656613205,275756000
2015-03-12,27.69841766357422,27.798573670384616,27.07077980681414,27.22212518990764,193450800
2015-03-13,27.507007598876953,27.90985433352595,27.282216536512934,27.687287714754685,207309200
2015-03-16,27.809694290161133,27.809694290161133,27.34675708098747,27.57154811064619,143497200
2015-03-17,28.274860382080078,28.33717875688107,27.965492951426334,28.021134600076984,204092400
2015-03-18,28.593130111694336,28.746701602291754,28.125740611932834,28.265956952446786,261083600
2015-03-19,28.37724494934082,28.76673654668471,28.354988626245177,28.655453233157886,183238000
2015-03-20,28.02113914489746,28.57755402360196,27.856440313632152,28.544170387435678,274780400
